2022-11-30,17:37,b'0',b'19.20',b'55.20',b'0'
2022-11-30,17:37,b'0',b'19.30',b'55.30',b'0'
2022-11-30,17:40,0.0,b'19.30',b'55.30',b'0'
2022-11-30,17:40,0.0,b'19.30',b'55.20',b'0'
2022-11-30,17:45,0.0,19.3,55.2,0.0
2022-11-30,17:46,0.0,19.6,55.0,0.0
2022-11-30,17:47,0.0,19.6,55.0,0.0
2022-11-30,17:48,0.0,19.7,55.2,0.0
2022-11-30,17:49,0.0,19.7,55.1,0.0
2022-11-30,17:50,0.0,19.8,54.7,0.0
2022-11-30,17:51,0.0,19.9,54.7,0.0
2022-11-30,17:52,0.0,20.0,54.7,0.0
2022-11-30,17:53,0.0,20.0,54.6,0.0
2022-11-30,17:55,0.0,20.0,54.6,0.0
2022-11-30,17:56,15.0,20.0,54.4,0.0
2022-11-30,17:57,18.0,20.1,54.3,0.0
2022-11-30,17:58,18.0,20.1,54.5,0.0
2022-11-30,17:59,17.0,20.2,54.5,0.0
2022-11-30,18:00,17.0,20.2,54.5,0.0
2022-11-30,18:01,17.0,20.2,54.5,0.0
2022-11-30,18:02,17.0,20.2,54.5,0.0
2022-11-30,18:03,17.0,20.2,54.5,0.0
2022-11-30,18:04,17.0,20.2,54.5,0.0
2022-11-30,18:05,17.0,20.2,54.5,0.0
2022-11-30,18:07,17.0,20.2,54.5,0.0
2022-11-30,18:08,17.0,20.2,54.5,0.0
2022-11-30,18:09,17.0,20.2,54.5,0.0
2022-11-30,18:10,17.0,20.2,54.5,0.0
2022-11-30,18:11,17.0,20.2,54.5,0.0
2022-11-30,18:12,17.0,20.2,54.5,0.0
2022-11-30,18:13,17.0,20.2,54.5,0.0
2022-11-30,18:14,17.0,20.2,54.5,0.0
2022-11-30,18:16,17.0,20.2,54.5,0.0
2022-11-30,18:17,17.0,20.2,54.5,0.0
2022-11-30,18:18,17.0,20.2,54.5,0.0
2022-11-30,18:19,17.0,20.2,54.5,0.0
2022-11-30,18:20,17.0,20.2,54.5,0.0
2022-11-30,18:21,17.0,20.2,54.5,0.0
2022-11-30,18:22,17.0,20.2,54.5,0.0
2022-11-30,18:23,275.0,9.9,66.8,0.0
2022-11-30,18:24,247.0,9.8,69.9,0.0
2022-11-30,18:25,230.0,9.6,70.4,0.0
2022-11-30,18:26,228.0,9.6,70.8,0.0
2022-11-30,18:28,227.0,9.5,71.5,0.0
2022-11-30,18:29,225.0,9.5,72.1,0.0
2022-11-30,18:30,225.0,9.5,72.4,0.0
2022-11-30,18:31,223.0,9.5,72.8,0.0
2022-11-30,18:32,223.0,9.5,73.1,0.0
2022-11-30,18:33,223.0,9.4,73.3,0.0
2022-11-30,18:34,223.0,9.4,73.3,0.0
2022-11-30,18:35,222.0,9.4,73.3,0.0
2022-11-30,18:36,221.0,9.4,73.4,0.0
2022-11-30,18:37,221.0,9.4,73.5,0.0
2022-11-30,18:38,221.0,9.4,73.6,0.0
2022-11-30,18:39,221.0,9.4,73.7,0.0
2022-11-30,18:40,220.0,9.3,73.6,0.0
2022-11-30,18:41,220.0,9.3,73.8,0.0
2022-11-30,18:42,221.0,9.3,73.8,0.0
2022-11-30,18:43,220.0,9.3,74.2,0.0
2022-11-30,18:44,220.0,9.3,74.3,0.0
2022-11-30,18:45,219.0,9.3,74.5,0.0
2022-11-30,18:47,220.0,9.2,74.3,0.0
